locus_tag	protein_id	gene_name	strand	start	end
b0001	NP_414542.1	thrL	+	189	255	
b0002	NP_414543.1	thrA	+	336	2799	
b0003	NP_414544.1	thrB	+	2800	3733	
b0004	NP_414545.1	thrC	+	3733	5020	
b0005	NP_414546.1	yaaX	+	5233	5530	
b0006	NP_414547.1	yaaA	-	5682	6459	
b0007	NP_414548.1	yaaJ	-	6528	7959	
b0008	NP_414549.1	talB	+	8237	9191	
b0009	NP_414550.1	mog	+	9305	9893	
b0010	NP_414551.1	satP	-	9927	10494	
b0011	NP_414552.1	yaaW	-	10642	11356	
b0012	YP_009518733.1	mbiA	+	10829	11315	
b0013	NP_414554.1	yaaI	-	11381	11786	
b0014	NP_414555.1	dnaK	+	12162	14079	
b0015	NP_414556.1	dnaJ	+	14167	15298	
b0016	NP_414557.1	insL-1	+	15444	16557	
b0018	NP_414559.1	mokC	-	16750	16960	
b4412	YP_025292.1	hokC	-	16750	16903	
b0019	NP_414560.1	nhaA	+	17488	18655	
b0020	NP_414561.1	nhaR	+	18714	19620	
