locus_tag	protein_id	gene_name	strand	start	end
PA14_RS00005	WP_003109151.1	dnaA	+	482	2027
PA14_RS00010	WP_003097262.1	dnaN	+	2055	3159
PA14_RS00015		recF	+	3168	4271
PA14_RS00020	WP_003097268.1	gyrB	+	4274	6695
PA14_RS00025	WP_003100265.1		-	7017	7791
PA14_RS00030	WP_003142196.1	gmhB	-	7802	8339
PA14_RS00035	WP_003142198.1		+	8670	10377
PA14_RS00040	WP_003100271.1	glyS	-	10433	12488
PA14_RS00045	WP_003097276.1	glyQ	-	12487	13435
PA14_RS00050	WP_003097280.1		+	13539	14091
PA14_RS00055	WP_003097282.1		+	14235	15123
PA14_RS00060	WP_003114645.1		+	15207	15474
PA14_RS00065	WP_003142200.1		+	15620	16274
PA14_RS00070	WP_003142201.1		-	16335	16608
PA14_RS00075	WP_003142202.1		-	16922	17240
PA14_RS00080	WP_003111375.1	trkA	-	17388	18762
PA14_RS00085	WP_003142203.1	rsmB	-	18788	20093
PA14_RS00090	WP_003142204.1	fmt	-	20089	21034
PA14_RS00095	WP_003097293.1	def	-	21087	21594
PA14_RS00100	WP_003097294.1		+	21732	22758
